13,26.3,82.1,5000
45,26.3,53.0,5000
30,26.3,79.9,5000
312,26.3,62.9,5000
1,26.3,50.2,5000
12,26.3,77.0,5000
42,26.3,56.8,5000
34,26.3,52.9,5000
330,26.3,72.0,5000
1,26.3,54.3,5000
12,26.3,75.1,5000
43,26.3,53.3,5000
41,26.3,80.3,5000
546,26.3,58.6,5000
1,26.3,53.2,5000
25,26.3,80.3,500
62,26.3,47.4,500
43,26.3,79.8,500
1,26.3,50.3,500
14,26.3,73.3,500
264,26.3,34.5,500
49,26.3,79.1,500
538,26.3,55.5,500
1,26.3,46.2,500
10,26.3,72.2,500
156,26.3,36.5,500
52,26.3,78.9,500
526,26.3,61.9,500
1,26.3,41.2,500
20,26.3,69.5,500
56,26.3,76.0,500
498,26.3,63.6,500
1,26.3,39.6,500
24,26.3,69.3,500
97,26.3,45.1,500
73,26.3,65.6,500
497,26.3,66.9,500
1,26.3,40.7,500
790,26.3,64.8,500
24,26.3,82.6,500
70,26.3,52.1,500
79,26.3,77.7,500
530,26.3,59.2,500
85,26.3,76.3,500
1,26.3,46.4,500
24,26.3,82.9,500
115,26.3,45.6,500
82,26.3,78.9,500
468,26.3,72.7,500
93,26.3,81.8,500
1,26.3,51.4,500
27,26.3,83.7,5000
121,26.3,41.3,5000
80,26.3,75.0,5000
289,26.3,69.0,5000
1,26.3,50.2,5000
10,26.3,80.6,5000
62,26.3,67.2,5000
62,26.3,78.2,5000
282,26.3,81.5,5000
76,26.3,78.9,5000
1,26.3,52.4,5000
11,26.3,77.3,5000
32,26.3,70.7,5000
46,26.3,77.2,5000
257,26.3,79.1,5000
71,26.3,79.5,5000
1,26.3,52.7,5000
1527,26.3,73.8,5000
11,26.3,79.5,5000
37,26.3,58.2,5000
51,26.3,78.0,5000
483,26.3,75.8,5000
71,26.3,78.0,5000
0,26.3,53.3,5000
11,26.3,80.1,5000
37,26.3,56.9,5000
57,26.3,78.1,5000
294,26.3,69.3,5000
0,26.3,55.2,5000
11,26.3,80.1,500
32,26.3,54.8,500
59,26.3,76.6,500
566,26.3,44.9,500
75,26.3,83.0,500
1,26.3,50.1,500
12,26.3,73.2,500
37,26.3,55.3,500
62,26.3,74.2,500
313,26.3,65.3,500
75,26.3,77.6,500
1,26.3,46.5,500
12,26.3,78.1,500
47,26.3,48.7,500
71,26.3,75.9,500
