143,80.2,77.2,500.0,-6.0
144,82.2,85.2,500.0,-5.7
145,92.5,72.5,5000.0,-6.5
146,86.3,75.9,5000.0,-6.4
147,80.0,75.2,5000.0,-6.6
148,96.5,75.4,5000.0,-6.4
149,103.8,72.8,500.0,-6.6
150,145.8,69.8,500.0,-6.6
151,124.0,49.3,500.0,-6.7
152,132.8,73.6,500.0,-6.5
153,134.3,75.2,500.0,-6.7
154,135.3,74.9,500.0,-6.6
155,134.5,74.0,5000.0,-6.6
156,136.2,74.4,5000.0,-6.6
157,132.8,73.3,5000.0,-6.5
158,80.5,74.1,5000.0,-6.7
159,77.3,73.8,5000.0,-6.6
160,90.8,37.7,500.0,-6.7
161,96.0,71.1,500.0,-6.6
162,81.0,74.7,500.0,-6.7
163,108.2,73.0,500.0,-6.8
164,112.3,73.3,500.0,-6.7
165,129.5,74.2,5000.0,-6.9
166,92.7,74.0,5000.0,-6.8
167,312.0,62.9,5000.0,-6.5
168,329.9,72.0,5000.0,-6.5
169,546.4,58.6,5000.0,-6.4
170,537.8,55.5,500.0,-5.9
171,525.8,61.9,500.0,-5.5
172,498.4,63.6,500.0,-5.7
173,497.2,66.9,500.0,-5.6
174,529.8,59.2,500.0,-6.1
175,468.0,72.7,500.0,-6.2
176,288.8,69.0,5000.0,-6.3
177,281.9,81.5,5000.0,-6.4
178,257.4,79.1,5000.0,-6.4
179,482.6,75.8,5000.0,-6.4
180,294.2,69.3,5000.0,-6.0
181,566.2,44.9,500.0,-6.4
182,313.3,65.3,500.0,-5.9
183,379.3,42.5,500.0,-5.8
184,1380.0,52.7,500.0,-5.7
185,924.7,56.3,500.0,-6.2
186,471.1,64.8,5000.0,-6.3
187,2470.0,41.1,5000.0,-6.2
188,369.1,63.2,500.0,-5.7
189,583.6,60.2,500.0,-6.2
190,1189.4,51.2,500.0,-6.1
191,334.3,58.9,5000.0,-6.3
192,419.0,71.7,5000.0,-6.0
193,380.1,67.5,5000.0,-6.5
194,389.1,56.9,5000.0,-6.5
195,402.3,60.4,500.0,-6.3
196,365.9,68.9,500.0,-6.4
197,377.7,71.4,500.0,-6.2
198,368.1,73.4,500.0,-6.4
199,348.4,75.8,500.0,-6.5
200,365.1,76.4,5000.0,-6.1
201,377.7,75.9,5000.0,-6.0
202,598.6,44.3,5000.0,-6.3
203,327.0,39.6,5000.0,-6.0
204,325.3,73.8,5000.0,-6.3
205,328.0,69.3,500.0,-6.1
206,370.8,57.4,500.0,-6.3
207,305.4,72.2,500.0,-6.7
208,275.6,70.7,500.0,-6.6
209,359.2,73.2,500.0,-6.5
210,390.2,73.2,500.0,-6.7
211,445.1,74.0,500.0,-6.5
212,294.4,72.4,5000.0,-6.4
213,351.3,72.4,5000.0,-6.7
214,383.0,56.0,5000.0,-6.7
215,408.8,59.5,5000.0,-6.6
216,389.0,48.7,500.0,-6.4
217,370.3,48.5,500.0,-6.5
218,344.0,58.3,500.0,-6.4
219,84.7,76.3,500.0,-6.6
220,93.0,81.8,500.0,-6.6
221,75.7,78.9,5000.0,-6.7
222,71.3,79.5,5000.0,-6.6
223,71.3,78.0,5000.0,-6.5
224,74.5,83.0,500.0,-6.6
225,74.8,77.6,500.0,-6.5
226,78.7,79.7,500.0,-6.5
227,107.7,77.8,500.0,-6.5
228,91.0,78.3,500.0,-6.4
229,92.0,76.8,5000.0,-6.6
230,99.3,77.0,5000.0,-6.6
231,86.7,77.5,5000.0,-6.6
232,78.2,77.9,5000.0,-6.6
233,77.8,79.2,500.0,-6.7
234,1.3,50.2,5000.0,-5.7
235,1.2,54.3,5000.0,-7.0
236,1.3,53.2,5000.0,-7.0
237,1.5,50.3,500.0,-7.0
238,0.6,46.2,500.0,-6.9
239,0.7,41.2,500.0,-6.9
240,0.8,39.6,500.0,-7.0
241,0.9,40.7,500.0,-6.9
242,1.4,52.4,5000.0,-7.1
243,0.4,55.2,5000.0,-6.8
244,0.5,50.1,500.0,-6.8
245,0.5,46.5,500.0,-6.7
246,0.6,42.5,500.0,-6.6
247,0.6,41.9,500.0,-6.6
248,0.7,48.2,500.0,-6.5
249,0.9,48.3,5000.0,-6.7
250,0.9,48.6,5000.0,-6.6
251,1.1,49.7,5000.0,-6.7
252,1.2,50.6,5000.0,-6.7
253,1.4,49.8,5000.0,-6.7
254,1.3,47.9,500.0,-6.7
